Path,Family (abbr.),Family (in full),Instrument (abbr.),Instrument (in full),Technique (abbr.),Technique (in full),Pitch,Pitch ID (if applicable),Dynamics,Dynamics ID (if applicable),Instance ID,Mute (abbr.),Mute (in full),String ID (if applicable),Needed digital retuning,Fold
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#0-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#0,22.0,f,3.0,0.0,S,Sordina,,False,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#0-p-N-T30d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#0,22.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#1-f-N-T20u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#1,34.0,f,3.0,0.0,S,Sordina,,True,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#1-p-N-T22u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#1,34.0,p,1.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#2-f-N-T29u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#2,46.0,f,3.0,0.0,S,Sordina,,True,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#2-p-N-T31u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#2,46.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#3-f-N-T12u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#3,58.0,f,3.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#3-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#3,58.0,p,1.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#4,70.0,f,3.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A#4-p-N-T11u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A#4,70.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A0-f-N-T31d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A0,21.0,f,3.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A0-p-N-T27d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A0,21.0,p,1.0,0.0,S,Sordina,,True,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A1-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A1,33.0,f,3.0,0.0,S,Sordina,,False,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A1-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A1,33.0,p,1.0,0.0,S,Sordina,,False,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A2,45.0,f,3.0,0.0,S,Sordina,,False,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A2-p-N-T14u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A2,45.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A3-f-N-T11u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A3,57.0,f,3.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A3-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A3,57.0,p,1.0,0.0,S,Sordina,,False,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A4-f-N-T17d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A4,69.0,f,3.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-A4-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,A4,69.0,p,1.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-B0-f-N-R100u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,B0,23.0,f,3.0,0.0,S,Sordina,,True,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-B0-p-N-T45u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,B0,23.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-B1-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,B1,35.0,f,3.0,0.0,S,Sordina,,False,1
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-B1-p-N-T14u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,B1,35.0,p,1.0,0.0,S,Sordina,,True,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-B2-f-N-T15u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,B2,47.0,f,3.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-B2-p-N-T10u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,B2,47.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-B3-f-N-T10d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,B3,59.0,f,3.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-B3-p-N-T11d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,B3,59.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C#1-f-N-T45u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C#1,25.0,f,3.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C#1-p-N-T22d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C#1,25.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C#2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C#2,37.0,f,3.0,0.0,S,Sordina,,False,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C#2-p-N-T10d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C#2,37.0,p,1.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C#3-f-N-T21u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C#3,49.0,f,3.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C#3-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C#3,49.0,p,1.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C#4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C#4,61.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C#4-p-N-T15d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C#4,61.0,p,1.0,0.0,S,Sordina,,True,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C1-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C1,24.0,f,3.0,0.0,S,Sordina,,False,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C1-p-N-T31u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C1,24.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C2-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C2,36.0,f,3.0,0.0,S,Sordina,,False,3
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C2-p-N-T16d.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C2,36.0,p,1.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C3-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C3,48.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C3-p-N-T10u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C3,48.0,p,1.0,0.0,S,Sordina,,True,2
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C4-f-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C4,60.0,f,3.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-C4-p-N-N.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,C4,60.0,p,1.0,0.0,S,Sordina,,False,4
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D#1-f-N-T20u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D#1,27.0,f,3.0,0.0,S,Sordina,,True,0
Brass/Bass_Tuba+sordina/ordinario/BTb+S-ord-D#1-p-N-T44u.wav,Brass,Brass,BTb,Bass Tuba,ord,ordinario,D#1,27.0,p,1.0,0.0,S,Sordina,,True,0
